Distance,Lat,Lon,Owner,AddressName
"42.019458834779186","-41.75599220","-73.15240570","Municipalidad de Calbuco","Plaza C\u00edrculo\u00a0Fraterno"
"42.336988529616214","-41.77316690","-73.13363350","Municipalidad de Calbuco","Presidente Carlos iba\u00f1ez del Campo (Escuela Balmaceda)"
"42.720639294760595","-41.76190750","-73.15642550","Municipalidad de Calbuco","Pedro Felix Oyarz\u00fan (costado del Liceo Hernandez Ortiz Pizarro)\u00a0"
"43.64812688914571","-41.78412610","-73.14088610","Municipalidad de Calbuco","Escuela Libertador Bernardo O\u00b4higgins Riquelme"
"43.67927212135758","-41.88113580","-72.81450540","Municipalidad de Hualaihue","Sector Aulen"
"45.99922385140134","-41.80034740","-73.15908850","Municipalidad de Calbuco","Parque Municipal Caica\u00e9n"
"46.314802154533055","-41.90338310","-72.84584490","Municipalidad de Hualaihue","Sector Tentelhue"
"46.49531099316832","-41.11687000","-73.05014000","Municipalidad de Frutillar","Alicia Martinez-Centro Comunitario"
"48.38380392062411","-41.77411670","-73.23450930","Municipalidad de Calbuco","Playa Jard\u00edn San Antonio"
"48.47689496721755","-41.92273810","-72.84834730","Municipalidad de Hualaihue","Sector Rolecha"
"48.93060638692588","-41.92759640","-72.83552580","Municipalidad de Hualaihue","Sector Rolecha"
"59.339286954675075","-41.96288640","-72.46751280","Municipalidad de Hualaihue","Carretera Austral"
"59.364740317473355","-41.96724470","-72.47839010","Municipalidad de Hualaihue","Rio Barcelo"
"59.43432904272652","-42.01070150","-72.64187610","Municipalidad de Hualaihue","Caleta el Manzano "
"59.568429371059864","-41.96677290","-72.47163280","Municipalidad de Hualaihue","Calle cordillera"
"59.9759446948223","-41.97086620","-72.47159870","Municipalidad de Hualaihue","Ingenieros Militares"
"60.349311926763406","-42.02537780","-72.68788140","Municipalidad de Hualaihue","Sector Hualaihue Puerto"
"60.73711459501163","-41.52746480","-72.06766880","Municipalidad de Puerto Montt","Calle Constantino Kochifas"
"60.760978739481054","-41.52621990","-72.06727180","Municipalidad de Puerto Montt","Calle Isla Calluhuapi"
"63.80900851011804","-41.15705300","-73.41891500","Municipalidad de Fresia","San Teodoro frente Multicancha Villas Unidas"
"64.29493519595168","-41.15356600","-73.42273900","Municipalidad de Fresia","San Jose con Irarrazaval"
"65.2650860205327","-41.21939120","-73.49006200","Municipalidad de Fresia","Parga"
"66.09451829582984","-41.47112350","-72.00216740","Municipalidad de Puerto Montt","Archipielago Juan Fernandez con Capitan Avalos"
"68.13987940354717","-41.61598180","-73.59619710","Ekuwun","Esquina Gaspar del r\u00edo con Almeida"
"68.19113896950924","-41.62306200","-73.59480290","Ekuwun","Bernardo O'higgins N\u00b0641"
"68.67661449783168","-41.61783220","-73.60227660","Ekuwun","Poblaci\u00f3n Miramar"
"68.8131747656356","-41.62194660","-73.60278680","Ekuwun","Poblaci\u00f3n Entre R\u00edos"
"70.19670127351273","-41.83252800","-73.50380000","Municipalidad de Ancud","Chacao viejo"
"71.52630134890441","-41.82979500","-73.52509900","Municipalidad de Ancud","Bellavista"
"71.65448907910626","-41.82919000","-73.52742000","Municipalidad de Ancud","Cecosf Chacao"
"71.79915681774028","-41.03911030","-73.41195890","Municipalidad de Fresia","Tegualda"
"72.6262580377263","-41.89634900","-73.47850400","Municipalidad de Ancud","Sector punta Chilen"
"73.9058541953191","-41.56399150","-73.67729190","Ekuwun","Vicente C\u00e1rcamo con Blanco Encalada"
"74.37466772097797","-41.64150120","-73.66551560","Ekuwun","Plazoleta Amortajado"
"74.68912711127713","-41.88311000","-73.52316000","Municipalidad de Ancud","Wechulkan Manao"
"74.73418481768518","-41.88401000","-73.52296010","Municipalidad de Ancud","Escuela Manao"
"74.7930788208442","-41.88410200","-73.52374800","Municipalidad de Ancud","Camino costero Quemchi Km36"
"75.86602439410149","-41.90632000","-73.51770000","Municipalidad de Ancud","Escuela Co\u00f1im\u00f3"
"75.8810719211913","-41.90632700","-73.51792200","Municipalidad de Ancud","Sector Co\u00f1imo"
"78.62740233340756","-41.92491600","-73.54056600","Municipalidad de Ancud","Sector huelden"
"78.62869854804889","-41.82646000","-73.62665000","Municipalidad de Ancud","Caulin Bajo"
"78.68068888090568","-41.82638000","-73.62742000","Municipalidad de Ancud","Posta de Caulin"
"80.82265439201433","-41.74437080","-73.70528120","Ekuwun","Serrano"
"80.96541363862619","-41.74613590","-73.70623880","Ekuwun","Bernardo Ohiggins 996"
"81.52328420433997","-41.96735600","-73.53921300","Municipalidad de Ancud","Sector linao "
"81.84086008246183","-41.81937100","-73.67520200","Municipalidad de Ancud","Sector Pugue\u00f1un"
"82.6369465050642","-42.06030000","-73.43190000","Municipalidad de Quemchi","Aucho Playa"
"83.38405417215337","-41.94114600","-73.59625000","Municipalidad de Ancud","Sector Lecam"
"84.46323755431612","-41.88605600","-73.66201800","Municipalidad de Ancud","Ruta 5 Sur km cruce El Quilar"
